code,description
4829,"Bacterial pneumonia, unspecified"
4846,Pneumonia in aspergillosis
485,"Bronchopneumonia, organism unspecified"
486,"Pneumonia, organism unspecified"
4870,Influenza with pneumonia
4871,Influenza with other respiratory manifestations
49120,Obstructive chronic bronchitis without exacerbation
49121,Obstructive chronic bronchitis with (acute) exacerbation
49122,Obstructive chronic bronchitis with acute bronchitis
4920,Emphysematous bleb
4928,Other emphysema
49320,"Chronic obstructive asthma, unspecified"
49322,Chronic obstructive asthma with (acute) exacerbation
49390,"Asthma, unspecified type, unspecified"
49392,"Asthma, unspecified type, with (acute) exacerbation"
4940,Bronchiectasis without acute exacerbation
4941,Bronchiectasis with acute exacerbation
496,"Chronic airway obstruction, not elsewhere classified"
501,Asbestosis
5070,Pneumonitis due to inhalation of food or vomitus
5100,Empyema with fistula
5109,Empyema without mention of fistula
5110,Pleurisy without mention of effusion or current tuberculosis
5118,[UNK:5118]
51181,Malignant pleural effusion
51189,"Other specified forms of effusion, except tuberculous"
5119,Unspecified pleural effusion
5121,Iatrogenic pneumothorax
5128,[UNK:5128]
514,Pulmonary congestion and hypostasis
515,Postinflammatory pulmonary fibrosis
5168,Other specified alveolar and parietoalveolar pneumonopathies
5178,Lung involvement in other diseases classified elsewhere
5180,Pulmonary collapse
5181,Interstitial emphysema
5184,"Acute edema of lung, unspecified"
5185,[UNK:5185]
51851,Acute respiratory failure following trauma and surgery
51852,"Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery"
51881,Acute respiratory failure
51882,"Other pulmonary insufficiency, not elsewhere classified"
51883,Chronic respiratory failure
51884,Acute and chronic respiratory failure
51889,"Other diseases of lung, not elsewhere classified"
51902,Mechanical complication of tracheostomy
51909,Other tracheostomy complications
5191,[UNK:5191]
51919,Other diseases of trachea and bronchus
52100,"Dental caries, unspecified"
5224,Acute apical periodontitis of pulpal origin
5225,Periapical abscess without sinus
52800,"Stomatitis and mucositis, unspecified"
52801,Mucositis (ulcerative) due to antineoplastic therapy
5289,Other and unspecified diseases of the oral soft tissues
5300,Achalasia and cardiospasm
53010,"Esophagitis, unspecified"
53019,Other esophagitis
53020,Ulcer of esophagus without bleeding
53021,Ulcer of esophagus with bleeding
5303,Stricture and stenosis of esophagus
5305,Dyskinesia of esophagus
5306,"Diverticulum of esophagus, acquired"
5307,Gastroesophageal laceration-hemorrhage syndrome
53081,Esophageal reflux
53082,Esophageal hemorrhage
53085,Barrett's esophagus
53100,"Acute gastric ulcer with hemorrhage, without mention of obstruction"
53140,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction"
53170,"Chronic gastric ulcer without mention of hemorrhage or perforation, without mention of obstruction"
53190,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
53200,"Acute duodenal ulcer with hemorrhage, without mention of obstruction"
53240,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction"
53290,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation, without mention of obstruction"
53390,"Peptic ulcer of unspecified site, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction"
53440,"Chronic or unspecified gastrojejunal ulcer with hemorrhage, without mention of obstruction"
53501,"Acute gastritis, with hemorrhage"
53510,"Atrophic gastritis, without mention of hemorrhage"
53540,"Other specified gastritis, without mention of hemorrhage"
53541,"Other specified gastritis, with hemorrhage"
53550,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage"
53551,"Unspecified gastritis and gastroduodenitis, with hemorrhage"
53560,"Duodenitis, without mention of hemorrhage"
53561,"Duodenitis, with hemorrhage"
5363,Gastroparesis
53641,Infection of gastrostomy
53642,Mechanical complication of gastrostomy
53649,Other gastrostomy complications
5368,Dyspepsia and other specified disorders of function of stomach
5370,Acquired hypertrophic pyloric stenosis
5373,Other obstruction of duodenum
53782,Angiodysplasia of stomach and duodenum without mention of hemorrhage
53783,Angiodysplasia of stomach and duodenum with hemorrhage
53789,Other specified disorders of stomach and duodenum
5379,Unspecified disorder of stomach and duodenum
55090,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified (not specified as recurrent)"
55092,"Inguinal hernia, without mention of obstruction or gangrene, bilateral (not specified as recurrent)"
5521,Umbilical hernia with obstruction
55221,Incisional ventral hernia with obstruction
5523,Diaphragmatic hernia with obstruction
5531,Umbilical hernia without mention of obstruction or gangrene
55320,"Ventral, unspecified, hernia without mention of obstruction or gangrene"
55321,Incisional hernia without mention of obstruction or gangrene
5533,Diaphragmatic hernia without mention of obstruction or gangrene
5551,Regional enteritis of large intestine
5552,Regional enteritis of small intestine with large intestine
5559,Regional enteritis of unspecified site
5566,Universal ulcerative (chronic) colitis
5569,"Ulcerative colitis, unspecified"
5570,Acute vascular insufficiency of intestine
5571,Chronic vascular insufficiency of intestine
5579,Unspecified vascular insufficiency of intestine
5589,Other and unspecified noninfectious gastroenteritis and colitis
5601,Paralytic ileus
5602,Volvulus
56039,Other impaction of intestine
56081,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection)
56089,Other specified intestinal obstruction
5609,Unspecified intestinal obstruction
56200,Diverticulosis of small intestine (without mention of hemorrhage)
56210,Diverticulosis of colon (without mention of hemorrhage)
56211,Diverticulitis of colon (without mention of hemorrhage)
56212,Diverticulosis of colon with hemorrhage
56213,Diverticulitis of colon with hemorrhage
56400,"Constipation, unspecified"
56409,Other constipation
5641,Irritable bowel syndrome
5650,Anal fissure
566,Abscess of anal and rectal regions
5672,[UNK:5672]
56721,Peritonitis (acute) generalized
56722,Peritoneal abscess
56723,Spontaneous bacterial peritonitis
56729,Other suppurative peritonitis
56731,Psoas muscle abscess
56738,Other retroperitoneal abscess
5679,Unspecified peritonitis
5680,Peritoneal adhesions (postoperative) (postinfection)
56881,Hemoperitoneum (nontraumatic)
56889,Other specified disorders of peritoneum
5691,Rectal prolapse
5693,Hemorrhage of rectum and anus
56941,Ulcer of anus and rectum
56949,Other specified disorders of rectum and anus
5695,Abscess of intestine
56962,Mechanical complication of colostomy and enterostomy
56969,Other colostomy and enterostomy complication
56981,"Fistula of intestine, excluding rectum and anus"
56982,Ulceration of intestine
56983,Perforation of intestine
56985,Angiodysplasia of intestine with hemorrhage
56989,Other specified disorders of intestine
570,Acute and subacute necrosis of liver
5710,Alcoholic fatty liver
5711,Acute alcoholic hepatitis
5712,Alcoholic cirrhosis of liver
5713,"Alcoholic liver damage, unspecified"
57142,Autoimmune hepatitis
57149,Other chronic hepatitis
5715,Cirrhosis of liver without mention of alcohol
5716,Biliary cirrhosis
5718,Other chronic nonalcoholic liver disease
5720,Abscess of liver
5722,Hepatic encephalopathy
5723,Portal hypertension
5724,Hepatorenal syndrome
5728,Other sequelae of chronic liver disease
5730,Chronic passive congestion of liver
5733,"Hepatitis, unspecified"
5734,Hepatic infarction
5738,Other specified disorders of liver
5739,Unspecified disorder of liver
57400,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction"
57410,"Calculus of gallbladder with other cholecystitis, without mention of obstruction"
57420,"Calculus of gallbladder without mention of cholecystitis, without mention of obstruction"
57431,"Calculus of bile duct with acute cholecystitis, with obstruction"
57450,"Calculus of bile duct without mention of cholecystitis, without mention of obstruction"
57451,"Calculus of bile duct without mention of cholecystitis, with obstruction"
57471,"Calculus of gallbladder and bile duct with other cholecystitis, with obstruction"
57491,"Calculus of gallbladder and bile duct without cholecystitis, with obstruction"
5750,Acute cholecystitis
57510,"Cholecystitis, unspecified"
57511,Chronic cholecystitis
5758,Other specified disorders of gallbladder
5761,Cholangitis
5762,Obstruction of bile duct
5768,Other specified disorders of biliary tract
5770,Acute pancreatitis
5771,Chronic pancreatitis
5772,Cyst and pseudocyst of pancreas
5778,Other specified diseases of pancreas
5779,Unspecified disease of pancreas
5780,Hematemesis
5781,Blood in stool
5789,"Hemorrhage of gastrointestinal tract, unspecified"
5790,Celiac disease
5793,Other and unspecified postsurgical nonabsorption
5798,Other specified intestinal malabsorption
58089,Acute glomerulonephritis with other specified pathological lesion in kidney
58281,Chronic glomerulonephritis in diseases classified elsewhere
5829,Chronic glomerulonephritis with unspecified pathological lesion in kidney
58381,"Nephritis and nephropathy, not specified as acute or chronic, in diseases classified elsewhere"
5839,"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney"
5845,Acute kidney failure with lesion of tubular necrosis
5848,Acute kidney failure with other specified pathological lesion in kidney
5849,"Acute kidney failure, unspecified"
585,[UNK:585]
5852,"Chronic kidney disease, Stage II (mild)"
5853,"Chronic kidney disease, Stage III (moderate)"
5854,"Chronic kidney disease, Stage IV (severe)"
5855,"Chronic kidney disease, Stage V"
5856,End stage renal disease
5859,"Chronic kidney disease, unspecified"
5880,Renal osteodystrophy
58881,Secondary hyperparathyroidism (of renal origin)
58889,Other specified disorders resulting from impaired renal function
59010,Acute pyelonephritis without lesion of renal medullary necrosis
59080,"Pyelonephritis, unspecified"
591,Hydronephrosis
5920,Calculus of kidney
5921,Calculus of ureter
5932,"Cyst of kidney, acquired"
5933,Stricture or kinking of ureter
5934,Other ureteric obstruction
59381,Vascular disorders of kidney
5939,Unspecified disorder of kidney and ureter
59582,Irradiation cystitis
5959,"Cystitis, unspecified"
5961,Intestinovesical fistula
59654,Neurogenic bladder NOS
5968,[UNK:5968]
5989,"Urethral stricture, unspecified"
5990,"Urinary tract infection, site not specified"
59960,"Urinary obstruction, unspecified"
59969,"Urinary obstruction, not elsewhere classified"
5997,[UNK:5997]
59970,"Hematuria, unspecified"
59971,Gross hematuria
59972,Microscopic hematuria
60000,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS)
60001,Hypertrophy (benign) of prostate with urinary obstruction and other lower urinary tract symptoms (LUTS)
605,Redundant prepuce and phimosis
60784,Impotence of organic origin
6084,Other inflammatory disorders of male genital organs
60886,Edema of male genital organs
61610,"Vaginitis and vulvovaginitis, unspecified"
6191,"Digestive-genital tract fistula, female"
6202,Other and unspecified ovarian cyst
6238,Other specified noninflammatory disorders of vagina
6262,Excessive or frequent menstruation
68110,"Cellulitis and abscess of toe, unspecified"
6822,Cellulitis and abscess of trunk
6823,Cellulitis and abscess of upper arm and forearm
6824,"Cellulitis and abscess of hand, except fingers and thumb"
6825,Cellulitis and abscess of buttock
6826,"Cellulitis and abscess of leg, except foot"
6827,"Cellulitis and abscess of foot, except toes"
6851,Pilonidal cyst without mention of abscess
6929,"Contact dermatitis and other eczema, unspecified cause"
6930,Dermatitis due to drugs and medicines taken internally
6953,Rosacea
6959,Unspecified erythematous condition
6960,Psoriatic arthropathy
6961,Other psoriasis
6989,Unspecified pruritic disorder
7048,Other specified diseases of hair and hair follicles
7070,[UNK:7070]
70701,"Pressure ulcer, elbow"
70702,"Pressure ulcer, upper back"
70703,"Pressure ulcer, lower back"
70704,"Pressure ulcer, hip"
70705,"Pressure ulcer, buttock"
70706,"Pressure ulcer, ankle"
70707,"Pressure ulcer, heel"
70709,"Pressure ulcer, other site"
70710,"Ulcer of lower limb, unspecified"
70712,Ulcer of calf
70713,Ulcer of ankle
70714,Ulcer of heel and midfoot
70715,Ulcer of other part of foot
70719,Ulcer of other part of lower limb
70720,"Pressure ulcer, unspecified stage"
70721,"Pressure ulcer, stage I"
70722,"Pressure ulcer, stage II"
70723,"Pressure ulcer, stage III"
70724,"Pressure ulcer, stage IV"
70725,"Pressure ulcer, unstageable"
7078,Chronic ulcer of other specified sites
7098,Other specified disorders of skin
7100,Systemic lupus erythematosus
7101,Systemic sclerosis
7102,Sicca syndrome
71101,"Pyogenic arthritis, shoulder region"
71105,"Pyogenic arthritis, pelvic region and thigh"
71106,"Pyogenic arthritis, lower leg"
7135,Arthropathy associated with neurological disorders
7140,Rheumatoid arthritis
71535,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh"
71536,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg"
71590,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
71591,"Osteoarthrosis, unspecified whether generalized or localized, shoulder region"
71595,"Osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh"
71596,"Osteoarthrosis, unspecified whether generalized or localized, lower leg"
71598,"Osteoarthrosis, unspecified whether generalized or localized, other specified sites"
71690,"Arthropathy, unspecified, site unspecified"
71696,"Arthropathy, unspecified, lower leg"
71906,"Effusion of joint, lower leg"
71941,"Pain in joint, shoulder region"
71945,"Pain in joint, pelvic region and thigh"
71946,"Pain in joint, lower leg"
71947,"Pain in joint, ankle and foot"
7197,Difficulty in walking
7200,Ankylosing spondylitis
7210,Cervical spondylosis without myelopathy
7211,Cervical spondylosis with myelopathy
7213,Lumbosacral spondylosis without myelopathy
72190,"Spondylosis of unspecified site, without mention of myelopathy"
7220,Displacement of cervical intervertebral disc without myelopathy
72210,Displacement of lumbar intervertebral disc without myelopathy
72252,Degeneration of lumbar or lumbosacral intervertebral disc
72291,"Other and unspecified disc disorder, cervical region"
72293,"Other and unspecified disc disorder, lumbar region"
7230,Spinal stenosis in cervical region
7231,Cervicalgia
72400,"Spinal stenosis, unspecified region"
72402,"Spinal stenosis, lumbar region, without neurogenic claudication"
7242,Lumbago
7243,Sciatica
7244,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
7245,"Backache, unspecified"
725,Polymyalgia rheumatica
72610,"Disorders of bursae and tendons in shoulder region, unspecified"
72885,Spasm of muscle
72886,Necrotizing fasciitis
72887,Muscle weakness (generalized)
72888,Rhabdomyolysis
72889,"Other disorders of muscle, ligament, and fascia"
7291,"Myalgia and myositis, unspecified"
7295,Pain in limb
72973,Nontraumatic compartment syndrome of abdomen
72981,Swelling of limb
72989,Other musculoskeletal symptoms referable to limbs
72992,Nontraumatic hematoma of soft tissue
73007,"Acute osteomyelitis, ankle and foot"
73008,"Acute osteomyelitis, other specified sites"
73017,"Chronic osteomyelitis, ankle and foot"
73018,"Chronic osteomyelitis, other specified sites"
73027,"Unspecified osteomyelitis, ankle and foot"
73028,"Unspecified osteomyelitis, other specified sites"
7313,Major osseous defects
7318,Other bone involvement in diseases classified elsewhere
73300,"Osteoporosis, unspecified"
73313,Pathologic fracture of vertebrae
73342,Aseptic necrosis of head and neck of femur
73382,Nonunion of fracture
73390,"Disorder of bone and cartilage, unspecified"
73710,Kyphosis (acquired) (postural)
73730,"Scoliosis [and kyphoscoliosis], idiopathic"
73819,Other specified acquired deformity of head
7384,Acquired spondylolisthesis
74190,"Spina bifida without mention of hydrocephalus, unspecified region"
7455,Ostium secundum type atrial septal defect
7464,Congenital insufficiency of aortic valve
74689,Other specified congenital anomalies of heart
7470,Patent ductus arteriosus
74781,Anomalies of cerebrovascular system
75312,"Polycystic kidney, unspecified type"
7596,"Other hamartoses, not elsewhere classified"
75989,Other specified congenital anomalies
76519,"Other preterm infants, 2,500 grams and over"
76528,35-36 completed weeks of gestation
7706,Transitory tachypnea of newborn
7726,Cutaneous hemorrhage of fetus or newborn
7742,Neonatal jaundice associated with preterm delivery
7761,Transient neonatal thrombocytopenia
77989,Other specified conditions originating in the perinatal period
78001,Coma
78009,Other alteration of consciousness
7801,Hallucinations
7802,Syncope and collapse
78039,Other convulsions
7804,Dizziness and giddiness
78052,"Insomnia, unspecified"
78057,Unspecified sleep apnea
7806,[UNK:7806]
78060,"Fever, unspecified"
78061,Fever presenting with conditions classified elsewhere
78062,Postprocedural fever
78065,Hypothermia not associated with low environmental temperature
78079,Other malaise and fatigue
78093,Memory loss
78097,Altered mental status
78099,Other general symptoms
7810,Abnormal involuntary movements
7812,Abnormality of gait
78194,Facial weakness
7820,Disturbance of skin sensation
7821,Rash and other nonspecific skin eruption
7823,Edema
7824,"Jaundice, unspecified, not of newborn"
7827,Spontaneous ecchymoses
7830,Anorexia
78321,Loss of weight
7837,Adult failure to thrive
7840,Headache
7842,"Swelling, mass, or lump in head and neck"
7843,Aphasia
7845,[UNK:7845]
78451,Dysarthria
78459,Other speech disturbance
78469,Other symbolic dysfunction
7847,Epistaxis
7850,"Tachycardia, unspecified"
7852,Undiagnosed cardiac murmurs
7854,Gangrene
78550,"Shock, unspecified"
78551,Cardiogenic shock
78552,Septic shock
78559,Other shock without mention of trauma
7856,Enlargement of lymph nodes
78605,Shortness of breath
78606,Tachypnea
78609,Other respiratory abnormalities
7861,Stridor
7862,Cough
7863,[UNK:7863]
78630,"Hemoptysis, unspecified"
78639,Other hemoptysis
78650,"Chest pain, unspecified"
78659,Other chest pain
7866,"Swelling, mass, or lump in chest"
7868,Hiccough
78701,Nausea with vomiting
78702,Nausea alone
7872,[UNK:7872]
78720,"Dysphagia, unspecified"
78721,"Dysphagia, oral phase"
78722,"Dysphagia, oropharyngeal phase"
78729,Other dysphagia
7873,"Flatulence, eructation, and gas pain"
7876,[UNK:7876]
78791,Diarrhea
78820,"Retention of urine, unspecified"
78829,Other specified retention of urine
78830,"Urinary incontinence, unspecified"
78831,Urge incontinence
78841,Urinary frequency
7885,Oliguria and anuria
78900,"Abdominal pain, unspecified site"
78907,"Abdominal pain, generalized"
78909,"Abdominal pain, other specified site"
7892,Splenomegaly
7895,[UNK:7895]
78951,Malignant ascites
78959,Other ascites
79001,Precipitous drop in hematocrit
79029,Other abnormal glucose
7904,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]
7905,Other nonspecific abnormal serum enzyme levels
7906,Other abnormal blood chemistry
7907,Bacteremia
79092,Abnormal coagulation profile
79093,Elevated prostate specific antigen [PSA]
79094,Euthyroid sick syndrome
7919,Other nonspecific findings on examination of urine
7921,Nonspecific abnormal findings in stool contents
7931,[UNK:7931]
79311,Solitary pulmonary nodule
79431,Nonspecific abnormal electrocardiogram [ECG] [EKG]
7948,Nonspecific abnormal results of function study of liver
79579,Other and unspecified nonspecific immunological findings
7962,Elevated blood pressure reading without diagnosis of hypertension
7963,Nonspecific low blood pressure reading
7990,[UNK:7990]
79902,Hypoxemia
7991,Respiratory arrest
7994,Cachexia
80122,"Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness"
8020,Closed fracture of nasal bones
80502,Closed fracture of second cervical vertebra
8052,Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
8054,Closed fracture of lumbar vertebra without mention of spinal cord injury
80701,Closed fracture of one rib
80702,Closed fracture of two ribs
80703,Closed fracture of three ribs
80704,Closed fracture of four ribs
80706,Closed fracture of six ribs
80709,"Closed fracture of multiple ribs, unspecified"
8072,Closed fracture of sternum
8080,Closed fracture of acetabulum
8082,Closed fracture of pubis
80841,Closed fracture of ilium
81200,Closed fracture of unspecified part of upper end of humerus
82009,Other closed transcervical fracture of neck of femur
82021,Closed fracture of intertrochanteric section of neck of femur
8208,Closed fracture of unspecified part of neck of femur
82300,Closed fracture of upper end of tibia alone
8248,"Unspecified fracture of ankle, closed"
85180,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, unspecified state of consciousness"
85182,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with brief [less than one hour] loss of consciousness"
85186,"Other and unspecified cerebral laceration and contusion, without mention of open intracranial wound, with loss of consciousness of unspecified duration"
85201,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
85220,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness"
85221,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
85301,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
8600,Traumatic pneumothorax without mention of open wound into thorax
8602,Traumatic hemothorax without mention of open wound into thorax
8604,Traumatic pneumohemothorax without mention of open wound into thorax
86121,Contusion of lung without mention of open wound into thorax
86401,"Injury to liver without mention of open wound into cavity, hematoma and contusion"
86502,"Injury to spleen without mention of open wound into cavity, capsular tears, without major disruption of parenchyma"
86602,"Injury to kidney without mention of open wound into cavity, laceration"
8670,"Injury to bladder and urethra, without mention of open wound into cavity"
8730,"Open wound of scalp, without mention of complication"
87343,"Open wound of lip, without mention of complication"
87344,"Open wound of jaw, without mention of complication"
9070,Late effect of intracranial injury without mention of skull fracture
9072,Late effect of spinal cord injury
9092,Late effect of radiation
9100,"Abrasion or friction burn of face, neck, and scalp except eye, without mention of infection"
9130,"Abrasion or friction burn of elbow, forearm, and wrist, without mention of infection"
9160,"Abrasion or friction burn of hip, thigh, leg, and ankle, without mention of infection"
920,"Contusion of face, scalp, and neck except eye(s)"
92232,Contusion of buttock
92400,Contusion of thigh
92410,Contusion of lower leg
92411,Contusion of knee
9331,Foreign body in larynx
9340,Foreign body in trachea
9341,Foreign body in main bronchus
9348,Foreign body in other specified parts bronchus and lung
9349,"Foreign body in respiratory tree, unspecified"
9351,Foreign body in esophagus
95892,Traumatic compartment syndrome of lower extremity
9623,Poisoning by insulins and antidiabetic agents
96509,Poisoning by other opiates and related narcotics
9663,Poisoning by other and unspecified anticonvulsants
9690,[UNK:9690]
9694,Poisoning by benzodiazepine-based tranquilizers
9916,Hypothermia
9951,"Angioneurotic edema, not elsewhere classified"
99591,Sepsis
99592,Severe sepsis
99593,Systemic inflammatory response syndrome due to noninfectious process without acute organ dysfunction
99594,Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction
99601,Mechanical complication due to cardiac pacemaker (electrode)
99602,Mechanical complication due to heart valve prosthesis
99604,Mechanical complication of automatic implantable cardiac defibrillator
9961,"Mechanical complication of other vascular device, implant, and graft"
9962,"Mechanical complication of nervous system device, implant, and graft"
99649,"Other mechanical complication of other internal orthopedic device, implant, and graft"
99659,"Mechanical complication due to other implant and internal device, not elsewhere classified"
99661,"Infection and inflammatory reaction due to cardiac device, implant, and graft"
99662,"Infection and inflammatory reaction due to other vascular device, implant, and graft"
99663,"Infection and inflammatory reaction due to nervous system device, implant, and graft"
99664,Infection and inflammatory reaction due to indwelling urinary catheter
99665,"Infection and inflammatory reaction due to other genitourinary device, implant, and graft"
99666,Infection and inflammatory reaction due to internal joint prosthesis
99667,"Infection and inflammatory reaction due to other internal orthopedic device, implant, and graft"
99669,"Infection and inflammatory reaction due to other internal prosthetic device, implant, and graft"
99671,Other complications due to heart valve prosthesis
99672,"Other complications due to other cardiac device, implant, and graft"
99673,"Other complications due to renal dialysis device, implant, and graft"
99674,"Other complications due to other vascular device, implant, and graft"
99676,"Other complications due to genitourinary device, implant, and graft"
99679,"Other complications due to other internal prosthetic device, implant, and graft"
99681,Complications of transplanted kidney
99682,Complications of transplanted liver
99685,Complications of transplanted bone marrow
99686,Complications of transplanted pancreas
99702,Iatrogenic cerebrovascular infarction or hemorrhage
99709,Other nervous system complications
9971,"Cardiac complications, not elsewhere classified"
9972,"Peripheral vascular complications, not elsewhere classified"
9973,[UNK:9973]
99731,Ventilator associated pneumonia
99739,Other respiratory complications
9974,[UNK:9974]
99749,Other digestive system complications
9975,"Urinary complications, not elsewhere classified"
99762,Infection (chronic) of amputation stump
99769,Other amputation stump complication
99791,"Complications affecting other specified body systems, not elsewhere classified, hypertension"
9980,[UNK:9980]
99811,Hemorrhage complicating a procedure
99812,Hematoma complicating a procedure
99813,Seroma complicating a procedure
9982,"Accidental puncture or laceration during a procedure, not elsewhere classified"
99831,Disruption of internal operation (surgical) wound
99832,Disruption of external operation (surgical) wound
99859,Other postoperative infection
9986,Persistent postoperative fistula
99881,Emphysema (subcutaneous) (surgical) resulting from procedure
99883,Non-healing surgical wound
99889,Other specified complications of procedures not elsewhere classified
9992,"Other vascular complications of medical care, not elsewhere classified"
9993,[UNK:9993]
99931,Other and unspecified infection due to central venous catheter
99932,Bloodstream infection due to central venous catheter
9998,[UNK:9998]
99989,Other transfusion reaction
9999,"Other and unspecified complications of medical care, not elsewhere classified"
E8122,Other motor vehicle traffic accident involving collision with motor vehicle injuring motorcyclist
E8147,Motor vehicle traffic accident involving collision with pedestrian injuring pedestrian
E8150,Other motor vehicle traffic accident involving collision on the highway injuring driver of motor vehicle other than motorcycle
E8160,"Motor vehicle traffic accident due to loss of control, without collision on the highway, injuring driver of motor vehicle other than motorcycle"
E8490,Home accidents
E8497,Accidents occurring in residential institution
E8498,Accidents occurring in other specified places
E8499,Accidents occurring in unspecified place
E8502,Accidental poisoning by other opiates and related narcotics
E8532,Accidental poisoning by benzodiazepine-based tranquilizers
E8700,"Accidental cut, puncture, perforation or hemorrhage during surgical operation"
E8704,"Accidental cut, puncture, perforation or hemorrhage during endoscopic examination"
E8708,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care"
E8780,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8781,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation"
E8782,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8783,"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8784,"Other restorative surgery causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8785,"Amputation of limb(s) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8786,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8788,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E8790,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E8791,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E8792,"Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E8794,"Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E8796,"Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E8798,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E8809,Accidental fall on or from other stairs or steps
E8844,Accidental fall from bed
E8846,Accidental fall from commode
E8849,Other accidental fall from one level to another
E8859,"Fall from other slipping, tripping, or stumbling"
E8889,Unspecified fall
E9010,Accident due to excessive cold due to weather conditions
E911,Inhalation and ingestion of food causing obstruction of respiratory tract or suffocation
E912,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation
E915,Foreign body accidentally entering other orifice
E9288,Other accidents
E9289,Unspecified accident
E9290,Late effects of motor vehicle accident
E9293,Late effects of accidental fall
E9298,Late effects of other accidents
E9299,Late effects of unspecified accident
E9300,Penicillins causing adverse effects in therapeutic use
E9305,Cephalosporin group causing adverse effects in therapeutic use
E9308,Other specified antibiotics causing adverse effects in therapeutic use
E9309,Unspecified antibiotic causing adverse effects in therapeutic use
E9310,Sulfonamides causing adverse effects in therapeutic use
E9317,Antiviral drugs causing adverse effects in therapeutic use
E9320,Adrenal cortical steroids causing adverse effects in therapeutic use
E9323,Insulins and antidiabetic agents causing adverse effects in therapeutic use
E9331,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use
E9342,Anticoagulants causing adverse effects in therapeutic use
E9348,Other agents affecting blood constituents causing adverse effects in therapeutic use
E9352,Other opiates and related narcotics causing adverse effects in therapeutic use
E9353,Salicylates causing adverse effects in therapeutic use
E9358,Other specified analgesics and antipyretics causing adverse effects in therapeutic use
E9359,Unspecified analgesic and antipyretic causing adverse effects in therapeutic use
E9361,Hydantoin derivatives causing adverse effects in therapeutic use
E9363,Other and unspecified anticonvulsants causing adverse effects in therapeutic use
E9378,Other sedatives and hypnotics causing adverse effects in therapeutic use
E9379,Unspecified sedatives and hypnotics causing adverse effects in therapeutic use
E9383,Intravenous anesthetics causing adverse effects in therapeutic use
E9384,Other and unspecified general anesthetics causing adverse effects in therapeutic use
